1504641239 52 3579705 10827 57972
1504644245 51 3578584 10768 57766
1504718774 51 3579035 10862 58186
1504718826 51 3579035 10862 58186
1504718856 51 3579069 10867 58218
1504718882 51 3579067 10868 58221
1504718910 51 3579067 10868 58221
1504718936 51 3579067 10868 58221
1504719045 51 3579067 10868 58221
1504719161 51 3579090 10872 58252
1504719226 51 3579090 10872 58252
1504719637 51 3579090 10872 58252
1504720520 52 3579595 10996 58978
1504725930 52 3581545 11174 60087
1504727736 52 3582632 11284 60699
1504732882 52 3582621 11284 60703
1504736809 54 3587939 11696 62451
1504739028 55 3589526 11950 64000
1504739305 55 3589524 11950 63997
1504802357 57 3658220 12084 64818
1504802452 56 3657988 12083 64815
1504802653 57 3658204 12084 64818
1504802703 57 3658207 12084 64818
1504803053 57 3659667 12106 64968
1504803112 57 3659667 12106 64968
1504803155 57 3659715 12106 64965
1504803188 57 3659715 12106 64965
1504803238 57 3659715 12106 64965
1504809873 57 3659715 12106 64965
1504810170 55 3658696 12025 64686
1504811076 56 3659932 12060 64957
1504813359 56 3661315 12163 65497
1504814204 56 3661552 12232 65895
1504814573 56 3661692 12263 66049
1504883106 56 3661692 12263 66049
1504886898 59 3850110 12596 67814
1504887033 59 3850115 12596 67814
1504887084 59 3850115 12596 67814
1504887184 58 3849305 12595 67807
1504887324 59 3697542 12594 67806
1504889172 62 4195591 12830 69122
1504889286 62 4195751 12839 69185
1504898236 62 4198152 12975 70069
1504898300 63 4200054 13014 70208
1504898531 64 4241243 13097 70669
1504898897 65 4270423 13185 71143
1504899080 64 4253132 13184 71138
1504900679 65 4357790 13419 72351
1505147400 65 4357756 13418 72353
1505147494 65 4357756 13418 72353
1505147557 65 4357756 13418 72353
1505159152 65 4357756 13418 72353
1505159189 65 4357756 13418 72353
1505159404 65 4357756 13418 72353
1505329219 65 4357756 13418 72353
1505330216 65 4357756 13418 72353
1505332754 65 4357756 13418 72353
1505421921 65 4357756 13418 72353
1505424295 65 4357756 13418 72353
1505440536 65 4364098 13498 72812
1505440842 66 4384287 13500 72815
1505440899 65 4384196 13499 72810
1505443837 67 4454489 13976 75299
1505444572 67 4454348 13973 75310
1505487190 68 4921929 14175 76305
1505490608 70 5118390 14542 78290
1505493387 72 5123219 15034 81014
1505493841 71 5298539 15081 81174
1505494010 71 5298517 15081 81172
1505500495 72 5301175 15323 82544
1505500747 73 5302506 15361 82657
1505500905 73 5302507 15328 82603
1505503924 74 5304754 15532 83773
1505504880 75 5450024 15681 84700
1505505555 75 5450343 15732 84963
